City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,chyorny yar,48.0624,46.1091,54.16,57,100,15.79,RU,1741798572
337,bardai,11.65,7.2333,95.94,9,100,8.55,NG,1741798573
338,east london,-33.0153,27.9116,76.14,78,20,10.36,ZA,1741798575
339,vernon,50.2581,-119.2691,37.76,91,91,1.14,CA,1741798221
340,kiama,-34.6833,150.8667,66.58,88,0,6.08,AU,1741798577
341,cambria,35.5641,-121.0808,55.06,85,99,11.01,US,1741798578
342,puerto yuca,2.9383,-73.2083,89.98,56,78,2.17,CO,1741798579
343,portalegre,39.2938,-7.4312,51.19,98,100,1.74,PT,1741798580
344,saint-louis,16.3333,-15.0,96.26,11,1,15.1,SN,1741798581
345,eyl,7.9803,49.8164,77.59,73,78,13.06,SO,1741798582
346,xilin hot,43.9667,116.0333,24.1,38,36,2.46,CN,1741798583
347,concepcion del oro,24.6333,-101.4167,64.22,17,6,12.66,MX,1741798584
348,yung shue wan,22.2333,114.1167,72.82,87,11,8.19,HK,1741798586
349,jiagedaqi,50.4167,124.1167,13.51,81,100,7.05,CN,1741798587
350,xindi,29.8167,113.4667,56.32,93,98,7.94,CN,1741798588
351,dolbeau-mistassini,48.8763,-72.212,5.47,69,45,3.2,CA,1741798589
352,pathein,16.7833,94.7333,75.22,74,21,8.66,MM,1741798590
353,lompoc,34.6391,-120.4579,56.01,83,100,8.05,US,1741798474
354,toba,34.4833,136.85,54.79,90,100,11.1,JP,1741798592
355,lastoursville,-0.8143,12.7287,82.29,76,78,3.6,GA,1741798593
356,sitka,57.0531,-135.33,35.49,93,75,3.44,US,1741798594
357,udachny,66.4167,112.4,-20.65,99,86,2.98,RU,1741798595
358,kangding,30.0513,101.9603,40.95,94,100,2.8,CN,1741798596
359,sao felix do xingu,-6.6447,-51.995,78.78,79,100,1.41,BR,1741798597
360,luling,29.9322,-90.3665,74.98,63,40,8.05,US,1741798598
361,fuglafjordur,62.244,-6.814,36.99,83,95,10.2,FO,1741798599
362,champerico,14.3,-91.9167,84.79,64,69,9.6,GT,1741798600
